Id,sustain_app__ConsumptionReport__c,sustain_app__EnergyConsumption__c,Name,sustain_app__UniqueInventoryId__c,sustain_app__ConsumptionReport__r.Name,sustain_app__EnergyConsumption__r.Name
a071g0000031YCqAAM,a081g0000045KAfAAM,a0G1g000001vp1AEAQ,CFR-000000061,a081g0000045KAfAAMa0G1g000001vp1AEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1026
a071g0000031YCrAAM,a081g0000045KAfAAM,a0G1g000001vp1BEAQ,CFR-000000062,a081g0000045KAfAAMa0G1g000001vp1BEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1027
a071g0000031YCsAAM,a081g0000045KAfAAM,a0G1g000001vp1CEAQ,CFR-000000063,a081g0000045KAfAAMa0G1g000001vp1CEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1028
a071g0000031YCtAAM,a081g0000045KAfAAM,a0G1g000001vp1DEAQ,CFR-000000064,a081g0000045KAfAAMa0G1g000001vp1DEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1029
a071g0000031YCuAAM,a081g0000045KAfAAM,a0G1g000001vp1EEAQ,CFR-000000065,a081g0000045KAfAAMa0G1g000001vp1EEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1030
a071g0000031YCvAAM,a081g0000045KAfAAM,a0G1g000001vp1FEAQ,CFR-000000066,a081g0000045KAfAAMa0G1g000001vp1FEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1031
a071g0000031YCwAAM,a081g0000045KAfAAM,a0G1g000001vp1GEAQ,CFR-000000067,a081g0000045KAfAAMa0G1g000001vp1GEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1032
a071g0000031YCxAAM,a081g0000045KAfAAM,a0G1g000001vp1HEAQ,CFR-000000068,a081g0000045KAfAAMa0G1g000001vp1HEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1033
a071g0000031YCyAAM,a081g0000045KAfAAM,a0G1g000001vp1IEAQ,CFR-000000069,a081g0000045KAfAAMa0G1g000001vp1IEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1034
a071g0000031YCzAAM,a081g0000045KAfAAM,a0G1g000001vp1JEAQ,CFR-000000070,a081g0000045KAfAAMa0G1g000001vp1JEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1035
a071g0000031YD0AAM,a081g0000045KAfAAM,a0G1g000001vp1KEAQ,CFR-000000071,a081g0000045KAfAAMa0G1g000001vp1KEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1036
a071g0000031YD1AAM,a081g0000045KAfAAM,a0G1g000001vp1LEAQ,CFR-000000072,a081g0000045KAfAAMa0G1g000001vp1LEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1037
a071g0000031YD2AAM,a081g0000045KAfAAM,a0G1g000001vp1MEAQ,CFR-000000073,a081g0000045KAfAAMa0G1g000001vp1MEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1038
a071g0000031YD3AAM,a081g0000045KAfAAM,a0G1g000001vp1NEAQ,CFR-000000074,a081g0000045KAfAAMa0G1g000001vp1NEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1039
a071g0000031YD4AAM,a081g0000045KAfAAM,a0G1g000001vp1OEAQ,CFR-000000075,a081g0000045KAfAAMa0G1g000001vp1OEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1040
a071g0000031YD5AAM,a081g0000045KAfAAM,a0G1g000001vp1PEAQ,CFR-000000076,a081g0000045KAfAAMa0G1g000001vp1PEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1041
a071g0000031YD6AAM,a081g0000045KAfAAM,a0G1g000001vp1QEAQ,CFR-000000077,a081g0000045KAfAAMa0G1g000001vp1QEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1042
a071g0000031YD7AAM,a081g0000045KAfAAM,a0G1g000001vp1REAQ,CFR-000000078,a081g0000045KAfAAMa0G1g000001vp1REAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1043
a071g0000031YD8AAM,a081g0000045KAfAAM,a0G1g000001vp1SEAQ,CFR-000000079,a081g0000045KAfAAMa0G1g000001vp1SEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1044
a071g0000031YD9AAM,a081g0000045KAfAAM,a0G1g000001vp1TEAQ,CFR-000000080,a081g0000045KAfAAMa0G1g000001vp1TEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1045
a071g0000031YDAAA2,a081g0000045KAfAAM,a0G1g000001vp1UEAQ,CFR-000000081,a081g0000045KAfAAMa0G1g000001vp1UEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1046
a071g0000031YDBAA2,a081g0000045KAfAAM,a0G1g000001vp1VEAQ,CFR-000000082,a081g0000045KAfAAMa0G1g000001vp1VEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1047
a071g0000031YDCAA2,a081g0000045KAfAAM,a0G1g000001vp1WEAQ,CFR-000000083,a081g0000045KAfAAMa0G1g000001vp1WEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1048
a071g0000031YDDAA2,a081g0000045KAfAAM,a0G1g000001vp1XEAQ,CFR-000000084,a081g0000045KAfAAMa0G1g000001vp1XEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1049
a071g0000031YDEAA2,a081g0000045KAfAAM,a0G1g000001vp1YEAQ,CFR-000000085,a081g0000045KAfAAMa0G1g000001vp1YEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1050
a071g0000031YDFAA2,a081g0000045KAfAAM,a0G1g000001vp1ZEAQ,CFR-000000086,a081g0000045KAfAAMa0G1g000001vp1ZEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1051
a071g0000031YDGAA2,a081g0000045KAfAAM,a0G1g000001vp1aEAA,CFR-000000087,a081g0000045KAfAAMa0G1g000001vp1aEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1052
a071g0000031YDHAA2,a081g0000045KAfAAM,a0G1g000001vp1bEAA,CFR-000000088,a081g0000045KAfAAMa0G1g000001vp1bEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1053
a071g0000031YDIAA2,a081g0000045KAfAAM,a0G1g000001vp1cEAA,CFR-000000089,a081g0000045KAfAAMa0G1g000001vp1cEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1054
a071g0000031YDJAA2,a081g0000045KAfAAM,a0G1g000001vp1dEAA,CFR-000000090,a081g0000045KAfAAMa0G1g000001vp1dEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1055
a071g0000031YDKAA2,a081g0000045KAfAAM,a0G1g000001vp1eEAA,CFR-000000091,a081g0000045KAfAAMa0G1g000001vp1eEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1056
a071g0000031YDLAA2,a081g0000045KAfAAM,a0G1g000001vp1fEAA,CFR-000000092,a081g0000045KAfAAMa0G1g000001vp1fEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1057
a071g0000031YDMAA2,a081g0000045KAfAAM,a0G1g000001vp1gEAA,CFR-000000093,a081g0000045KAfAAMa0G1g000001vp1gEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1058
a071g0000031YDNAA2,a081g0000045KAfAAM,a0G1g000001vp1hEAA,CFR-000000094,a081g0000045KAfAAMa0G1g000001vp1hEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1059
a071g0000031YDOAA2,a081g0000045KAfAAM,a0G1g000001vp1iEAA,CFR-000000095,a081g0000045KAfAAMa0G1g000001vp1iEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1060
a071g0000031YDPAA2,a081g0000045KAfAAM,a0G1g000001vp1jEAA,CFR-000000096,a081g0000045KAfAAMa0G1g000001vp1jEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1061
a071g0000031YDQAA2,a081g0000045KAfAAM,a0G1g000001vp1kEAA,CFR-000000097,a081g0000045KAfAAMa0G1g000001vp1kEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1062
a071g0000031YDRAA2,a081g0000045KAfAAM,a0G1g000001vp1lEAA,CFR-000000098,a081g0000045KAfAAMa0G1g000001vp1lEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1063
a071g0000031YDSAA2,a081g0000045KAfAAM,a0G1g000001vp1mEAA,CFR-000000099,a081g0000045KAfAAMa0G1g000001vp1mEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1064
a071g0000031YDTAA2,a081g0000045KAfAAM,a0G1g000001vp1nEAA,CFR-000000100,a081g0000045KAfAAMa0G1g000001vp1nEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1065
a071g0000031YDUAA2,a081g0000045KAfAAM,a0G1g000001vp1oEAA,CFR-000000101,a081g0000045KAfAAMa0G1g000001vp1oEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1066
a071g0000031YDVAA2,a081g0000045KAfAAM,a0G1g000001vp1pEAA,CFR-000000102,a081g0000045KAfAAMa0G1g000001vp1pEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1067
a071g0000031YDWAA2,a081g0000045KAfAAM,a0G1g000001vp1qEAA,CFR-000000103,a081g0000045KAfAAMa0G1g000001vp1qEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1068
a071g0000031YDXAA2,a081g0000045KAfAAM,a0G1g000001vp1rEAA,CFR-000000104,a081g0000045KAfAAMa0G1g000001vp1rEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1069
a071g0000031YDYAA2,a081g0000045KAfAAM,a0G1g000001vp1sEAA,CFR-000000105,a081g0000045KAfAAMa0G1g000001vp1sEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1070
a071g0000031YDZAA2,a081g0000045KAfAAM,a0G1g000001vp1tEAA,CFR-000000106,a081g0000045KAfAAMa0G1g000001vp1tEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1071
a071g0000031YDaAAM,a081g0000045KAfAAM,a0G1g000001vp1uEAA,CFR-000000107,a081g0000045KAfAAMa0G1g000001vp1uEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1072
a071g0000031YDbAAM,a081g0000045KAfAAM,a0G1g000001vp1vEAA,CFR-000000108,a081g0000045KAfAAMa0G1g000001vp1vEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1073
a071g0000031YDcAAM,a081g0000045KAfAAM,a0G1g000001vp1wEAA,CFR-000000109,a081g0000045KAfAAMa0G1g000001vp1wEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1074
a071g0000031YDdAAM,a081g0000045KAfAAM,a0G1g000001vp1xEAA,CFR-000000110,a081g0000045KAfAAMa0G1g000001vp1xEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1075
a071g0000031YDeAAM,a081g0000045KAfAAM,a0G1g000001vp1yEAA,CFR-000000111,a081g0000045KAfAAMa0G1g000001vp1yEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1076
a071g0000031YDfAAM,a081g0000045KAfAAM,a0G1g000001vp1zEAA,CFR-000000112,a081g0000045KAfAAMa0G1g000001vp1zEAA,Air Travel - All Org - FY19,AT-FY19-AMER-1077
a071g0000031YDgAAM,a081g0000045KAfAAM,a0G1g000001vp20EAA,CFR-000000113,a081g0000045KAfAAMa0G1g000001vp20EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1078
a071g0000031YDhAAM,a081g0000045KAfAAM,a0G1g000001vp21EAA,CFR-000000114,a081g0000045KAfAAMa0G1g000001vp21EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1079
a071g0000031YDiAAM,a081g0000045KAfAAM,a0G1g000001vp22EAA,CFR-000000115,a081g0000045KAfAAMa0G1g000001vp22EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1080
a071g0000031YDjAAM,a081g0000045KAfAAM,a0G1g000001vp23EAA,CFR-000000116,a081g0000045KAfAAMa0G1g000001vp23EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1081
a071g0000031YDkAAM,a081g0000045KAfAAM,a0G1g000001vp24EAA,CFR-000000117,a081g0000045KAfAAMa0G1g000001vp24EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1082
a071g0000031YDlAAM,a081g0000045KAfAAM,a0G1g000001vp25EAA,CFR-000000118,a081g0000045KAfAAMa0G1g000001vp25EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1083
a071g0000031YDmAAM,a081g0000045KAfAAM,a0G1g000001vp26EAA,CFR-000000119,a081g0000045KAfAAMa0G1g000001vp26EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1084
a071g0000031YDnAAM,a081g0000045KAfAAM,a0G1g000001vp27EAA,CFR-000000120,a081g0000045KAfAAMa0G1g000001vp27EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1085
a071g0000031YDoAAM,a081g0000045KAfAAM,a0G1g000001vp28EAA,CFR-000000121,a081g0000045KAfAAMa0G1g000001vp28EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1086
a071g0000031YDpAAM,a081g0000045KAfAAM,a0G1g000001vp29EAA,CFR-000000122,a081g0000045KAfAAMa0G1g000001vp29EAA,Air Travel - All Org - FY19,AT-FY19-AMER-1087
a071g0000031YDqAAM,a081g0000045KAfAAM,a0G1g000001vp2AEAQ,CFR-000000123,a081g0000045KAfAAMa0G1g000001vp2AEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1088
a071g0000031YDrAAM,a081g0000045KAfAAM,a0G1g000001vp2BEAQ,CFR-000000124,a081g0000045KAfAAMa0G1g000001vp2BEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1089
a071g0000031YDsAAM,a081g0000045KAfAAM,a0G1g000001vp2CEAQ,CFR-000000125,a081g0000045KAfAAMa0G1g000001vp2CEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1090
a071g0000031YDtAAM,a081g0000045KAfAAM,a0G1g000001vp2DEAQ,CFR-000000126,a081g0000045KAfAAMa0G1g000001vp2DEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1091
a071g0000031YDuAAM,a081g0000045KAfAAM,a0G1g000001vp2EEAQ,CFR-000000127,a081g0000045KAfAAMa0G1g000001vp2EEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1092
a071g0000031YDvAAM,a081g0000045KAfAAM,a0G1g000001vp2FEAQ,CFR-000000128,a081g0000045KAfAAMa0G1g000001vp2FEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1093
a071g0000031YDwAAM,a081g0000045KAfAAM,a0G1g000001vp2GEAQ,CFR-000000129,a081g0000045KAfAAMa0G1g000001vp2GEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1094
a071g0000031YDxAAM,a081g0000045KAfAAM,a0G1g000001vp2HEAQ,CFR-000000130,a081g0000045KAfAAMa0G1g000001vp2HEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1095
a071g0000031YDyAAM,a081g0000045KAfAAM,a0G1g000001vp2IEAQ,CFR-000000131,a081g0000045KAfAAMa0G1g000001vp2IEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1096
a071g0000031YDzAAM,a081g0000045KAfAAM,a0G1g000001vp2JEAQ,CFR-000000132,a081g0000045KAfAAMa0G1g000001vp2JEAQ,Air Travel - All Org - FY19,AT-FY19-AMER-1097
